sentence,label,prompt,logprob_negative,logprob_positive,pred_label,correct
it 's a charming and often affecting journey . ,1,"Review: it 's a charming and often affecting journey . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.480479,-3.9079995,1,True
unflinchingly bleak and desperate ,0,"Review: unflinchingly bleak and desperate 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.6442275,-5.5827727,1,False
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,"Review: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.1188064,-3.7021804,1,True
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,"Review: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.083354,-4.6872168,1,True
"it 's slow -- very , very slow . ",0,"Review: it 's slow -- very , very slow . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.8392544,-3.6057568,1,False
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,"Review: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.8942485,-4.3142467,1,True
a sometimes tedious film . ,0,"Review: a sometimes tedious film . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.047473,-4.7634535,1,False
or doing last year 's taxes with your ex-wife . ,0,"Review: or doing last year 's taxes with your ex-wife . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.4830184,-5.243173,1,False
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,"Review: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.7535062,-3.5502973,1,True
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,"Review: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.338952,-3.15001,1,False
