condition,trial,number,senryu,score,reason
normal,1,1,一限目　目覚まし鳴るも　夢の中,7,多くの大学生が経験するであろう、授業への遅刻や寝坊の状況をリアルに表現しており、共感できる。少しユーモラスな情景が浮かぶ。
normal,1,2,レポートを　出した直後に　ミス気づく,8,レポート提出後のミスに気づくという、多くの学生が経験するであろう「あるある」ネタ。絶望感と後悔がユーモラスに表現されている。
normal,1,3,学食で　財布と相談　今日も水,8,学食の値段と懐事情を「財布と相談」という言葉で表現しているのが面白い。大学生のリアルな経済状況を表しており、共感できる。
normal,1,4,出席を　取る日だけ来る　友がいる,9,出席を取る日だけ現れる友人は、多くの人が心当たりがあるはず。皮肉が効いていて、大学生の人間関係の一端をユーモラスに描いている。
normal,1,5,締切日　なぜか掃除が　はかどる日,9,締切前になると、なぜか関係ない掃除などをしてしまうという「先延ばしあるある」。人間の心理を的確に捉えており、共感と笑いを誘う。
normal,1,6,教科書を　買っただけでも　勉強感,7,教科書を買っただけで満足してしまうという、勉強に対する甘えや怠惰さを表現している。大学生らしい、少し自虐的な面白さがある。
normal,1,7,空きコマで　寝るつもりが　日が暮れる,8,空きコマで寝るつもりが、気づけば時間が経っているという状況は、大学生なら誰もが経験するだろう。時間の感覚のずれがユーモラス。
normal,1,8,単位より　睡眠時間　欲しくなる,7,単位取得のために勉強するよりも、睡眠を優先したいという気持ちは、多くの学生が抱える本音。切実さがユーモラスに伝わる。
normal,1,9,Zoom授業　顔は出さずに　飯を食う,9,Zoom授業で顔を出さずに食事をするという、新しい時代の大学生の日常を捉えている。オンライン授業ならではのズボラさが面白く、共感できる。
normal,1,10,試験前　過去問だけが　神になる,9,試験前になると過去問に頼ってしまうという、学生の切羽詰まった状況と本音を表現している。過去問が「神」という比喩が秀逸で面白い。
normal,2,1,一限目　目覚まし鳴るも　夢の中,7,多くの大学生が経験するであろう、授業への遅刻や寝坊の状況をリアルに表現しており、共感できる。少しユーモラスな情景が浮かぶ。
